state;action_reward;n_state
1931&0|549&0|7255&0|7430&0|5980&1|2028&0|7618&0|5036&0|5622&0|2001&0|916&0|16003&0;5774&0|32516&0|32517&0|7818&0;1931&0|549&0|7255&0|7430&0|5980&1|2028&0|7618&0|5036&0|5622&0|2001&0|916&0|16003&0|5774&0|32516&0|32517&0|7818&0
7823&0|6249&0|2080&0|10694&0|10647&0|10650&0|10695&0|9292&0|10685&0|3485&0|1429&0|1942&0;10693&0|10687&0|6076&0|1974&0;7823&0|6249&0|2080&0|10694&0|10647&0|10650&0|10695&0|9292&0|10685&0|3485&0|1429&0|1942&0|10693&0|10687&0|6076&0|1974&0
1853&0|3025&0|3139&0|1936&0|23483&0|6016&0|4740&0|11410&0|11969&0|3712&0|11872&1|2960&0;4874&0|126&0|18877&0|6124&0;1853&0|3025&0|3139&0|1936&0|23483&0|6016&0|4740&0|11410&0|11969&0|3712&0|11872&1|2960&0|4874&0|126&0|18877&0|6124&0
1139&0|32538&0|534&0|8843&0|29771&0|12533&0|2952&0|7905&0|12349&0|14614&0|14637&0|20563&0;874&0|8178&0|12522&0|8182&0;1139&0|32538&0|534&0|8843&0|29771&0|12533&0|2952&0|7905&0|12349&0|14614&0|14637&0|20563&0|874&0|8178&0|12522&0|8182&0
1262&0|602&0|9952&0|2038&0|20841&0|1210&0|1256&0|20856&0|9537&0|20819&0|3941&0|5307&0;827&0|2122&0|6967&0|2422&0;1262&0|602&0|9952&0|2038&0|20841&0|1210&0|1256&0|20856&0|9537&0|20819&0|3941&0|5307&0|827&0|2122&0|6967&0|2422&0
5609&0|5317&0|6339&0|6329&0|1867&0|6345&0|1210&0|5645&0|3799&0|1293&0|1426&0|2264&0;1678&0|1541&0|1434&0|6385&0;5609&0|5317&0|6339&0|6329&0|1867&0|6345&0|1210&0|5645&0|3799&0|1293&0|1426&0|2264&0|1678&0|1541&0|1434&0|6385&0
7491&0|2986&0|16598&0|27986&0|27979&0|8999&1|125&0|7786&1|27988&0|16606&0|14262&0|14564&0;21681&0|27976&1|19734&0|4913&0;7491&0|2986&0|16598&0|27986&0|27979&0|8999&1|125&0|7786&1|27988&0|16606&0|14262&0|14564&0|21681&0|27976&1|19734&0|4913&0
3024&0|1293&0|5259&0|8831&0|4721&0|12614&0|6839&1|19949&0|10728&0|23989&0|6786&0|7142&0;5092&0|3208&0|5491&0|29306&0;3024&0|1293&0|5259&0|8831&0|4721&0|12614&0|6839&1|19949&0|10728&0|23989&0|6786&0|7142&0|5092&0|3208&0|5491&0|29306&0
16265&0|4715&0|8056&0|6849&0|7205&0|16359&0|29734&0|25647&0|29680&0|29752&0|9588&0|12258&0;29803&0|29851&0|6647&0|29799&0;16265&0|4715&0|8056&0|6849&0|7205&0|16359&0|29734&0|25647&0|29680&0|29752&0|9588&0|12258&0|29803&0|29851&0|6647&0|29799&0
7380&0|4750&0|7314&0|2720&0|7274&1|7376&0|7461&0|1808&0|7446&0|7573&0|7579&0|4525&0;90&0|7547&0|7604&0|4962&0;7380&0|4750&0|7314&0|2720&0|7274&1|7376&0|7461&0|1808&0|7446&0|7573&0|7579&0|4525&0|90&0|7547&0|7604&0|4962&0
5468&0|5423&0|5642&0|5640&0|3032&0|5397&0|5313&0|5567&0|1431&0|5494&0|5646&0|5263&0;5601&0|5617&0|5721&0|5700&0;5468&0|5423&0|5642&0|5640&0|3032&0|5397&0|5313&0|5567&0|1431&0|5494&0|5646&0|5263&0|5601&0|5617&0|5721&0|5700&0
449&0|10854&0|6024&0|13759&0|6227&0|9669&0|13730&0|13207&0|6739&0|13738&0|5952&0|5976&0;8586&0|3785&0|13817&0|867&0;449&0|10854&0|6024&0|13759&0|6227&0|9669&0|13730&0|13207&0|6739&0|13738&0|5952&0|5976&0|8586&0|3785&0|13817&0|867&0
11894&0|11948&0|2188&0|6245&0|3051&0|7791&0|11991&0|3811&0|12078&0|4908&0|12100&0|11412&0;2033&0|4434&0|12133&0|4896&0;11894&0|11948&0|2188&0|6245&0|3051&0|7791&0|11991&0|3811&0|12078&0|4908&0|12100&0|11412&0|2033&0|4434&0|12133&0|4896&0
15652&1|15637&0|15645&0|15635&0|15629&0|15630&0|1991&1|15657&0|15656&1|15623&0|15612&0|144&0;15679&1|15674&0|15654&0|15664&1;15652&1|15637&0|15645&0|15635&0|15629&0|15630&0|1991&1|15657&0|15656&1|15623&0|15612&0|144&0|15679&1|15674&0|15654&0|15664&1
28346&0|28366&0|13067&0|2215&0|7505&0|28364&0|784&0|2452&0|2703&0|1217&0|1358&0|2246&0;1789&0|1290&0|733&0|5687&0;28346&0|28366&0|13067&0|2215&0|7505&0|28364&0|784&0|2452&0|2703&0|1217&0|1358&0|2246&0|1789&0|1290&0|733&0|5687&0
7535&1|948&0|934&0|1048&0|1105&0|7269&0|145&1|22945&0|3867&0|396&0|1077&0|956&0;3838&0|19648&0|232&0|4292&0;7535&1|948&0|934&0|1048&0|1105&0|7269&0|145&1|22945&0|3867&0|396&0|1077&0|956&0|3838&0|19648&0|232&0|4292&0
3852&0|7817&0|0&0|6311&0|347&0|3871&0|4747&1|10040&0|1045&0|104&0|914&0|14423&0;6298&0|9185&0|22245&0|84&0;3852&0|7817&0|0&0|6311&0|347&0|3871&0|4747&1|10040&0|1045&0|104&0|914&0|14423&0|6298&0|9185&0|22245&0|84&0
10663&0|10361&0|2214&0|1952&0|7195&0|26215&0|361&0|9050&0|26205&0|26211&0|590&0|6627&0;26235&0|7729&0|4317&0|253&0;10663&0|10361&0|2214&0|1952&0|7195&0|26215&0|361&0|9050&0|26205&0|26211&0|590&0|6627&0|26235&0|7729&0|4317&0|253&0
5388&0|1959&0|16229&0|3397&0|18733&0|18717&0|18728&0|18694&0|13629&0|12971&0|18720&0|18730&0;10461&1|1506&0|2246&0|1866&0;5388&0|1959&0|16229&0|3397&0|18733&0|18717&0|18728&0|18694&0|13629&0|12971&0|18720&0|18730&0|10461&1|1506&0|2246&0|1866&0
4409&0|22853&0|16389&0|15502&0|2197&0|1273&0|16639&0|24932&0|28661&0|1404&0|784&0|19979&0;28744&0|17850&0|6853&0|2233&0;4409&0|22853&0|16389&0|15502&0|2197&0|1273&0|16639&0|24932&0|28661&0|1404&0|784&0|19979&0|28744&0|17850&0|6853&0|2233&0
30132&0|16851&0|30246&0|15631&0|30195&0|30184&0|14128&0|28997&0|24079&0|27684&0|11841&0|30214&0;30275&0|16922&1|16898&0|14036&0;30132&0|16851&0|30246&0|15631&0|30195&0|30184&0|14128&0|28997&0|24079&0|27684&0|11841&0|30214&0|30275&0|16922&1|16898&0|14036&0
621&0|3087&0|3023&0|2897&0|2707&0|2867&0|2868&0|2926&0|2767&0|3088&0|2979&0|3065&0;3310&0|3325&0|3357&0|3340&0;621&0|3087&0|3023&0|2897&0|2707&0|2867&0|2868&0|2926&0|2767&0|3088&0|2979&0|3065&0|3310&0|3325&0|3357&0|3340&0
11330&0|11828&0|14021&0|11825&0|5791&0|521&0|1057&0|13943&0|13983&0|3936&0|14195&0|529&0;12558&0|14150&0|4629&0|14229&0;11330&0|11828&0|14021&0|11825&0|5791&0|521&0|1057&0|13943&0|13983&0|3936&0|14195&0|529&0|12558&0|14150&0|4629&0|14229&0
473&0|18278&0|18159&0|18205&0|6612&0|13631&0|18186&0|6038&0|15564&0|7640&0|658&0|11408&0;7102&0|496&0|18441&0|11369&0;473&0|18278&0|18159&0|18205&0|6612&0|13631&0|18186&0|6038&0|15564&0|7640&0|658&0|11408&0|7102&0|496&0|18441&0|11369&0
2173&0|2196&0|2192&0|2170&0|2199&0|2129&1|2203&0|2110&0|2208&0|2120&0|2141&0|2113&0;2163&0|2162&0|2165&0|2157&0;2173&0|2196&0|2192&0|2170&0|2199&0|2129&1|2203&0|2110&0|2208&0|2120&0|2141&0|2113&0|2163&0|2162&0|2165&0|2157&0
6879&0|3045&0|1322&0|6971&0|5362&0|1562&0|5324&0|4439&0|1624&0|1861&0|6812&0|6815&0;6906&0|6932&0|6922&0|6908&0;6879&0|3045&0|1322&0|6971&0|5362&0|1562&0|5324&0|4439&0|1624&0|1861&0|6812&0|6815&0|6906&0|6932&0|6922&0|6908&0
7382&0|7857&0|11387&0|13664&0|8528&0|24079&0|24084&1|4750&0|8528&0|24083&0|7842&0|6990&0;3462&0|7111&0|19819&0|17180&0;7382&0|7857&0|11387&0|13664&0|8528&0|24079&0|24084&1|4750&0|8528&0|24083&0|7842&0|6990&0|3462&0|7111&0|19819&0|17180&0
7249&0|7314&0|9375&0|9756&0|7796&0|9770&0|4122&0|9762&0|9763&0|9692&0|660&0|9528&0;9793&0|8001&0|3043&0|736&0;7249&0|7314&0|9375&0|9756&0|7796&0|9770&0|4122&0|9762&0|9763&0|9692&0|660&0|9528&0|9793&0|8001&0|3043&0|736&0
22423&0|4373&0|3835&0|5474&0|14305&0|26384&0|12730&1|1434&0|13218&0|14672&0|4410&0|4880&0;18581&0|19985&1|8769&0|26393&0;22423&0|4373&0|3835&0|5474&0|14305&0|26384&0|12730&1|1434&0|13218&0|14672&0|4410&0|4880&0|18581&0|19985&1|8769&0|26393&0
1008&0|15966&0|32577&0|7414&0|2394&0|2229&0|32581&0|216&0|813&0|7928&0|2507&0|7111&0;20373&0|8222&0|13394&0|2641&0;1008&0|15966&0|32577&0|7414&0|2394&0|2229&0|32581&0|216&0|813&0|7928&0|2507&0|7111&0|20373&0|8222&0|13394&0|2641&0
9415&0|27074&0|27070&0|4618&0|25480&0|11928&0|11775&0|27105&0|27194&0|7347&0|17953&0|27204&0;11829&0|7556&0|20258&0|27223&0;9415&0|27074&0|27070&0|4618&0|25480&0|11928&0|11775&0|27105&0|27194&0|7347&0|17953&0|27204&0|11829&0|7556&0|20258&0|27223&0
1163&0|27022&0|21785&0|15373&0|123&0|27020&0|27023&0|7424&0|27026&0|11336&0|27017&0|19169&0;81&0|22949&0|14383&0|1084&0;1163&0|27022&0|21785&0|15373&0|123&0|27020&0|27023&0|7424&0|27026&0|11336&0|27017&0|19169&0|81&0|22949&0|14383&0|1084&0
1391&0|14801&0|14803&0|5602&0|1839&0|14806&0|14808&0|1350&0|1969&0|12191&0|7245&0|14804&0;1434&0|5689&0|1733&1|3255&0;1391&0|14801&0|14803&0|5602&0|1839&0|14806&0|14808&0|1350&0|1969&0|12191&0|7245&0|14804&0|1434&0|5689&0|1733&1|3255&0
1183&0|1852&0|3649&0|2788&0|3338&0|8656&0|20818&0|10932&0|1938&0|30708&0|30710&0|30712&0;6897&0|1789&0|1867&0|6601&0;1183&0|1852&0|3649&0|2788&0|3338&0|8656&0|20818&0|10932&0|1938&0|30708&0|30710&0|30712&0|6897&0|1789&0|1867&0|6601&0
3812&0|8449&0|7247&0|6573&0|20249&0|16293&0|21613&0|21579&0|1259&0|21610&0|4372&0|1915&0;827&0|1415&0|6803&0|2203&0;3812&0|8449&0|7247&0|6573&0|20249&0|16293&0|21613&0|21579&0|1259&0|21610&0|4372&0|1915&0|827&0|1415&0|6803&0|2203&0
10694&0|840&0|10131&0|18106&0|16442&0|18132&0|13377&0|13351&0|18085&0|3810&0|18092&0|18079&0;1557&0|18120&0|8498&0|12126&0;10694&0|840&0|10131&0|18106&0|16442&0|18132&0|13377&0|13351&0|18085&0|3810&0|18092&0|18079&0|1557&0|18120&0|8498&0|12126&0
492&0|7108&0|185&0|9018&0|7014&0|9173&0|26931&0|6315&0|26933&0|26953&0|24557&0|2092&0;7851&0|957&0|7554&0|3704&0;492&0|7108&0|185&0|9018&0|7014&0|9173&0|26931&0|6315&0|26933&0|26953&0|24557&0|2092&0|7851&0|957&0|7554&0|3704&0
17650&0|8590&0|1517&0|18565&0|3773&0|8599&0|24240&0|13483&0|24227&0|15302&0|6810&0|3148&0;1783&0|29244&0|24911&0|1753&0;17650&0|8590&0|1517&0|18565&0|3773&0|8599&0|24240&0|13483&0|24227&0|15302&0|6810&0|3148&0|1783&0|29244&0|24911&0|1753&0
22855&0|22860&0|18655&0|22861&0|6718&0|16551&0|7731&0|3177&0|10932&0|21000&0|20999&0|8930&0;22885&0|20852&0|22835&0|19464&0;22855&0|22860&0|18655&0|22861&0|6718&0|16551&0|7731&0|3177&0|10932&0|21000&0|20999&0|8930&0|22885&0|20852&0|22835&0|19464&0
645&0|551&0|404&1|2085&0|3532&0|817&0|824&0|32282&0|9058&0|752&0|13439&0|793&0;32281&0|32279&0|2641&0|32280&0;645&0|551&0|404&1|2085&0|3532&0|817&0|824&0|32282&0|9058&0|752&0|13439&0|793&0|32281&0|32279&0|2641&0|32280&0
5152&0|4967&1|4887&0|4971&0|1817&0|4417&0|5112&1|4861&0|4748&0|5126&0|4768&0|4984&0;5198&0|5196&0|4977&0|5074&0;5152&0|4967&1|4887&0|4971&0|1817&0|4417&0|5112&1|4861&0|4748&0|5126&0|4768&0|4984&0|5198&0|5196&0|4977&0|5074&0
25887&0|30870&0|9996&0|5990&0|20845&0|7996&0|7395&0|193&0|11191&0|10700&0|9461&0|14490&0;6106&0|24335&0|9115&0|6096&0;25887&0|30870&0|9996&0|5990&0|20845&0|7996&0|7395&0|193&0|11191&0|10700&0|9461&0|14490&0|6106&0|24335&0|9115&0|6096&0
14853&0|271&0|3892&0|14865&0|15041&0|15033&0|13993&0|179&0|14816&0|9336&0|6446&0|14823&0;11197&0|3472&0|15174&0|15122&0;14853&0|271&0|3892&0|14865&0|15041&0|15033&0|13993&0|179&0|14816&0|9336&0|6446&0|14823&0|11197&0|3472&0|15174&0|15122&0
1274&0|15138&0|23402&0|1423&0|1332&0|21983&0|4825&0|5641&0|2157&0|5362&0|23413&0|23400&1;6644&0|11383&0|23440&0|23431&0;1274&0|15138&0|23402&0|1423&0|1332&0|21983&0|4825&0|5641&0|2157&0|5362&0|23413&0|23400&1|6644&0|11383&0|23440&0|23431&0
5429&0|10801&0|16414&0|8573&1|10119&0|31728&0|13683&0|2766&0|10974&0|6207&0|1372&0|31737&0;3739&0|1726&0|6255&0|31802&0;5429&0|10801&0|16414&0|8573&1|10119&0|31728&0|13683&0|2766&0|10974&0|6207&0|1372&0|31737&0|3739&0|1726&0|6255&0|31802&0
999&0|14078&0|16615&0|18954&0|14401&0|964&0|14312&0|14320&0|9897&0|9706&0|18919&0|9657&0;18961&0|15870&0|18962&0|4287&0;999&0|14078&0|16615&0|18954&0|14401&0|964&0|14312&0|14320&0|9897&0|9706&0|18919&0|9657&0|18961&0|15870&0|18962&0|4287&0
8460&0|175&0|8375&0|3008&0|8433&0|8371&0|3725&1|3041&0|8530&0|8605&0|8536&0|8513&0;8652&0|8662&0|8629&0|8615&0;8460&0|175&0|8375&0|3008&0|8433&0|8371&0|3725&1|3041&0|8530&0|8605&0|8536&0|8513&0|8652&0|8662&0|8629&0|8615&0
615&0|8979&0|1246&0|693&0|8414&0|805&0|1254&0|6983&0|27323&0|20521&0|568&0|27284&0;3483&0|13662&0|26679&0|2475&0;615&0|8979&0|1246&0|693&0|8414&0|805&0|1254&0|6983&0|27323&0|20521&0|568&0|27284&0|3483&0|13662&0|26679&0|2475&0
21788&0|21876&0|21823&0|1028&0|21779&0|4325&0|21859&0|7308&1|7459&0|21475&0|6986&0|947&0;755&0|6093&0|21885&0|21897&0;21788&0|21876&0|21823&0|1028&0|21779&0|4325&0|21859&0|7308&1|7459&0|21475&0|6986&0|947&0|755&0|6093&0|21885&0|21897&0
15369&0|9700&0|956&0|7532&0|11816&0|11355&0|4254&0|4536&0|32139&0|7335&0|973&0|4578&0;11377&0|11297&0|4125&0|14112&0;15369&0|9700&0|956&0|7532&0|11816&0|11355&0|4254&0|4536&0|32139&0|7335&0|973&0|4578&0|11377&0|11297&0|4125&0|14112&0
16083&0|14701&1|11745&0|5210&0|21697&0|9414&0|14747&0|16124&0|15487&0|4747&0|9241&0|9226&0;16135&0|21692&0|7410&0|81&0;16083&0|14701&1|11745&0|5210&0|21697&0|9414&0|14747&0|16124&0|15487&0|4747&0|9241&0|9226&0|16135&0|21692&0|7410&0|81&0
3491&0|8164&0|2076&0|8441&0|6345&0|2585&0|2075&0|2051&0|26578&0|1152&0|3755&0|23382&0;21557&0|30335&0|30336&0|6727&0;3491&0|8164&0|2076&0|8441&0|6345&0|2585&0|2075&0|2051&0|26578&0|1152&0|3755&0|23382&0|21557&0|30335&0|30336&0|6727&0
5968&0|7540&0|437&0|9389&0|9375&0|9358&0|7517&0|9465&0|404&1|6292&0|9399&0|9349&1;3674&0|9501&0|4583&0|4565&1;5968&0|7540&0|437&0|9389&0|9375&0|9358&0|7517&0|9465&0|404&1|6292&0|9399&0|9349&1|3674&0|9501&0|4583&0|4565&1
21526&0|3528&0|10148&0|11602&0|7240&0|2155&0|3525&0|2038&0|17341&0|2020&0|21525&0|9087&0;20446&0|2576&0|13394&0|12960&0;21526&0|3528&0|10148&0|11602&0|7240&0|2155&0|3525&0|2038&0|17341&0|2020&0|21525&0|9087&0|20446&0|2576&0|13394&0|12960&0
27605&0|9324&0|9903&0|11763&0|27580&0|19533&0|17998&0|906&0|27603&0|27616&0|966&0|14346&0;13961&0|6495&0|11360&0|14182&0;27605&0|9324&0|9903&0|11763&0|27580&0|19533&0|17998&0|906&0|27603&0|27616&0|966&0|14346&0|13961&0|6495&0|11360&0|14182&0
11&0|59&1|84&0|91&0|211&0|111&0|152&0|112&0|45&0|164&0|40&0|167&1;256&0|245&0|240&0|246&0;11&0|59&1|84&0|91&0|211&0|111&0|152&0|112&0|45&0|164&0|40&0|167&1|256&0|245&0|240&0|246&0
16750&0|9198&0|19589&0|21068&1|19581&1|25939&0|7634&0|11285&0|28530&0|15615&0|4590&0|25370&0;10597&0|3880&0|28790&0|28784&0;16750&0|9198&0|19589&0|21068&1|19581&1|25939&0|7634&0|11285&0|28530&0|15615&0|4590&0|25370&0|10597&0|3880&0|28790&0|28784&0
1878&0|2289&0|2370&1|23153&0|13177&0|5359&0|23097&0|23186&0|2278&0|9079&0|2229&0|2359&0;6947&0|5686&0|11670&0|2302&0;1878&0|2289&0|2370&1|23153&0|13177&0|5359&0|23097&0|23186&0|2278&0|9079&0|2229&0|2359&0|6947&0|5686&0|11670&0|2302&0
1809&0|2234&0|1812&0|2027&0|8781&0|1271&0|6573&0|1250&0|19304&0|10528&0|32253&0|1202&0;11494&0|13394&0|1358&0|32259&0;1809&0|2234&0|1812&0|2027&0|8781&0|1271&0|6573&0|1250&0|19304&0|10528&0|32253&0|1202&0|11494&0|13394&0|1358&0|32259&0
3631&0|18353&0|5931&0|6410&0|18988&0|11371&0|9283&0|13426&0|29867&0|272&0|404&0|314&0;29929&0|2234&0|12154&0|3139&0;3631&0|18353&0|5931&0|6410&0|18988&0|11371&0|9283&0|13426&0|29867&0|272&0|404&0|314&0|29929&0|2234&0|12154&0|3139&0
749&0|2312&0|6585&0|19146&0|2157&0|22667&0|2472&0|863&0|23253&0|1903&0|23269&0|2234&0;813&0|4576&0|23267&0|1438&0;749&0|2312&0|6585&0|19146&0|2157&0|22667&0|2472&0|863&0|23253&0|1903&0|23269&0|2234&0|813&0|4576&0|23267&0|1438&0
170&0|247&0|1024&0|15990&0|6004&0|15962&0|14393&0|16017&0|16009&0|14407&0|1077&0|7438&0;16081&0|249&0|16180&0|16096&0;170&0|247&0|1024&0|15990&0|6004&0|15962&0|14393&0|16017&0|16009&0|14407&0|1077&0|7438&0|16081&0|249&0|16180&0|16096&0
12644&0|3426&0|27992&0|27997&0|5420&0|25904&0|13071&0|13257&0|1911&0|5435&0|1935&0|8406&0;3782&0|19014&0|6831&0|3162&0;12644&0|3426&0|27992&0|27997&0|5420&0|25904&0|13071&0|13257&0|1911&0|5435&0|1935&0|8406&0|3782&0|19014&0|6831&0|3162&0
202&0|6506&1|216&0|11365&0|693&0|4557&1|26912&0|9595&0|9008&0|7518&1|9023&0|21088&0;4492&0|26922&0|6476&1|4525&0;202&0|6506&1|216&0|11365&0|693&0|4557&1|26912&0|9595&0|9008&0|7518&1|9023&0|21088&0|4492&0|26922&0|6476&1|4525&0
2296&0|6752&0|1472&0|6565&0|6586&0|6758&0|6619&0|6625&0|1248&0|6527&0|6770&0|6714&0;6640&0|6685&0|2583&0|6661&0;2296&0|6752&0|1472&0|6565&0|6586&0|6758&0|6619&0|6625&0|1248&0|6527&0|6770&0|6714&0|6640&0|6685&0|2583&0|6661&0
1077&0|964&0|1092&0|973&0|1010&0|1075&0|1111&0|978&0|958&0|1117&0|994&0|1007&0;1073&0|1031&0|1053&0|1047&0;1077&0|964&0|1092&0|973&0|1010&0|1075&0|1111&0|978&0|958&0|1117&0|994&0|1007&0|1073&0|1031&0|1053&0|1047&0
13239&0|5760&0|13255&0|13299&0|1202&0|13096&0|13170&0|5593&0|13324&0|13113&0|13275&0|13191&0;6948&0|13388&0|13351&0|2983&0;13239&0|5760&0|13255&0|13299&0|1202&0|13096&0|13170&0|5593&0|13324&0|13113&0|13275&0|13191&0|6948&0|13388&0|13351&0|2983&0
22065&0|22037&0|22050&0|19416&0|8928&0|22068&0|18724&0|15621&0|22080&0|22039&0|22063&0|1005&0;19048&0|22092&0|22067&0|777&0;22065&0|22037&0|22050&0|19416&0|8928&0|22068&0|18724&0|15621&0|22080&0|22039&0|22063&0|1005&0|19048&0|22092&0|22067&0|777&0
7745&0|12514&0|22952&0|32182&0|2737&0|31870&0|17621&0|11220&0|9529&0|8673&0|6227&0|27757&0;8674&0|32197&0|20500&0|32201&0;7745&0|12514&0|22952&0|32182&0|2737&0|31870&0|17621&0|11220&0|9529&0|8673&0|6227&0|27757&0|8674&0|32197&0|20500&0|32201&0
1024&0|2054&1|10791&0|10912&0|1975&0|26970&1|2049&0|7088&0|13438&0|26967&0|10998&1|4859&1;3582&0|777&0|7031&0|11012&0;1024&0|2054&1|10791&0|10912&0|1975&0|26970&1|2049&0|7088&0|13438&0|26967&0|10998&1|4859&1|3582&0|777&0|7031&0|11012&0
6481&0|6487&0|3912&0|232&0|16019&0|97&0|5874&0|15513&0|4136&0|4339&0|1018&0|4239&0;18070&0|2076&0|13935&0|5814&0;6481&0|6487&0|3912&0|232&0|16019&0|97&0|5874&0|15513&0|4136&0|4339&0|1018&0|4239&0|18070&0|2076&0|13935&0|5814&0
4267&0|3930&0|5792&0|189&0|3887&0|2545&0|142&0|3532&0|1024&0|9173&0|1082&0|9874&0;10037&0|7805&0|6486&0|7108&0;4267&0|3930&0|5792&0|189&0|3887&0|2545&0|142&0|3532&0|1024&0|9173&0|1082&0|9874&0|10037&0|7805&0|6486&0|7108&0
14306&0|787&0|1912&0|1157&0|7553&0|4296&0|11372&0|449&0|5243&0|17974&0|19009&0|1976&0;19033&0|3492&0|19038&0|17525&0;14306&0|787&0|1912&0|1157&0|7553&0|4296&0|11372&0|449&0|5243&0|17974&0|19009&0|1976&0|19033&0|3492&0|19038&0|17525&0
1582&0|6600&0|2126&0|2851&0|8846&0|8830&0|7306&0|2266&0|8760&0|570&0|2253&0|2071&0;5100&0|8878&0|8905&0|870&0;1582&0|6600&0|2126&0|2851&0|8846&0|8830&0|7306&0|2266&0|8760&0|570&0|2253&0|2071&0|5100&0|8878&0|8905&0|870&0
8699&0|3480&0|8736&0|8674&0|4682&0|1446&0|8758&0|1454&0|1717&0|1248&0|1952&0|3521&0;3584&0|4682&0|1688&0|6120&0;8699&0|3480&0|8736&0|8674&0|4682&0|1446&0|8758&0|1454&0|1717&0|1248&0|1952&0|3521&0|3584&0|4682&0|1688&0|6120&0
99&0|6409&0|6391&0|6404&0|6502&0|6414&0|3882&0|6294&0|32&1|913&0|6456&0|6501&0;1158&1|4123&0|6510&0|6491&0;99&0|6409&0|6391&0|6404&0|6502&0|6414&0|3882&0|6294&0|32&1|913&0|6456&0|6501&0|1158&1|4123&0|6510&0|6491&0
